A ESTRUTURA TEM AS SEGUINTES INFORMAÇÕES: 
tempo de compilação: 102628134 nanosegundos
números de comparações de chaves: 77786
número de colisões: 4259

Palavra                          Frequencia
---------------------------------------------
a                                1786
à                                1
aback                            1
abed                             1
abide                            3
abiding                          1
able                             4
abnormal                         1
about                            372
above                            7
absence                          2
absent-mindedly                  1
absorbed                         3
absorbing                        1
abundant                         1
accent                           1
accept                           1
accepted                         2
accepting                        2
access                           10
accessed                         1
accessible                       1
accident                         1
accidentally                     2
accord                           1
accordance                       2
accordingly                      1
accused                          1
accustomed                       4
ache                             1
ached                            3
aches                            3
acquaintance                     1
across                           32
act                              2
actin                            5
acting                           1
actions                          1
active                           2
activity                         1
actual                           3
actually                         37
added                            10
addition                         2
additional                       3
additions                        1
address                          1
addresses                        1
administration                   1
admiration                       1
admire                           1
admiringly                       3
admitted                         3
adorably                         1
adoration                        1
adored                           1
advance                          1
adventures                       1
advice                           2
advised                          1
affair                           1
affairs                          1
affectation                      1
affected                         1
affection                        1
affectionate                     3
afford                           1
afore                            3
afraid                           32
after                            91
afternoon                        26
afternoon-well                   1
afternoons                       1
afterward                        13
afterward-i                      1
again                            117
again-and                        1
again-that                       1
against                          31
agate                            2
age                              1
agen                             2
agent                            1
ages                             1
agitated                         1
ago                              19
ago-an                           1
agree                            10
agreeable                        5
agreed                           3
agreement                        18
agrees                           3
ahead                            1
ails                             3
air                              54
air-an                           1
air-and                          1
ajar                             1
alarm                            2
alarmed                          3
alcoves                          6
alert                            1
alighted                         3
alike                            1
alike-you                        1
alive                            40
all                              331
all-it                           1
all-perceiving                   1
all-really                       1
allow                            5
allowed                          5
allus                            4
almost                           80
alone                            16
along                            14
aloud                            6
already                          12
also                             29
alter                            2
alteration                       1
alternate                        1
alternately                      1
always                           107
am                               117
am-i                             1
amazed                           2
amazement                        3
amazing                          6
amazingly                        1
amen                             2
amid                             1
among                            18
amuse                            7
amused                           5
amusement                        1
amuses                           1
amusing                          2
an                               576
ancestors                        1
ancient                          1
and                              3264
and-and                          2
and-if                           1
angel                            4
angel-i                          1
anger                            2
angrily                          1
angry                            19
animal                           12
animals                          9
ann                              2
announced                        5
announcement                     1
announcing                       1
annoyance                        1
anns                             1
another                          38
answer                           19
answered                         136
ants                             1
anxiety                          3
anxious                          4
anxiously                        7
any                              102
anybody                          1
anybodys                         1
anyone                           44
anyones                          3
anythin                          8
anything                         57
anything-dolls-toys-books        1
anything-quite                   1
anythingll                       1
anythinjust                      1
anywhere                         8
anywhere-if                      1
apart                            1
apartment                        1
apartments                       1
appalling                        1
apparent                         1
apparently                       1
appealingly                      1
appear                           2
appeared                         5
appearing                        3
appears                          1
appetite                         8
appetites                        4
apple                            1
apple-tree                       4
apple-trees                      1
applicable                       3
apply                            1
appreciative                     1
approach                         2
approaching                      1
approval                         1
approved                         1
apron                            3
aquilegia                        1
arch                             3
arched                           3
arches                           1
archibald                        10
archie                           5
archive                          13
are                              204
arent                            3
argued                           2
arise                            1
arm                              16
armchair                         3
armies                           1
armor                            1
arms                             13
around                           7
arranged                         2
array                            1
arrived                          7
arrow                            1
art                              15
as                               790
as-is                            1
ascii                            2
ashamed                          1
ashy                             1
aside                            6
ask                              33
asked                            102
askin                            3
asking                           5
asleep                           18
asleep-everybody                 1
asll                             2
assist                           1
assistance                       1
associated                       7
assuming                         1
astonished                       2
astonishing                      1
astonishment                     1
astounding                       1
at                               576
at-buds                          1
at-but                           1
at-natives                       1
ate                              10
athlete                          4
atmosphere                       1
atom                             1
atrophied                        2
attached                         1
attempt                          1
attempted                        1
attend                           1
attended                         2
attends                          1
attention                        6
attentively                      1
attract                          1
attracted                        6
attracting                       1
attraction                       1
aught                            1
aunts                            1
austerely                        1
austrian                         1
author                           2
authority                        1
autumn                           5
available                        2
avenue                           2
awake                            15
awaken                           1
awakened                         8
awakening                        4
aware                            4
away                             116
away-you                         1
awful                            3
awfully                          2
awkward                          3
awkwardly                        1
awoke                            3
ax                               2
axed                             1
ayah                             23
ayahs                            1
aye                              39
b                                3
babies                           3
baby                             8
bachelder                        2
back                             155
back-if                          1
back-nothing                     1
back-that                        1
backard                          1
backbone                         2
backs                            1
backward                         5
bacon                            3
bad                              16
badgers                          4
badness                          1
baffling                         1
bak                              1
bake                             1
bakin                            1
baking                           2
bald                             1
bands                            1
bandy                            1
bang                             1
bank                             1
bare                             14
bared                            2
barely                           1
bark                             1
barney                           2
bars                             1
based                            2
basil                            9
basket                           3
batteries-as                     1
battle                           1
be                               391
be-when                          1
beak                             9
beaks                            2
beamed                           1
bean-stalk                       1
bear                             12
bearable                         1
beast                            1
beat                             7
beaten                           1
beating                          6
beautiful                        24
beautiful-and                    1
beautifully                      1
beauty                           5
became                           16
because                          153
because-because                  1
beckoned                         1
become                           8
becoming                         4
bed                              41
bed-clothes                      1
bedding-out                      1
bedroom                          3
beds                             9
bedside                          3
beef                             3
been                             278
been-how                         1
beer                             2
beer-mug                         2
bees                             8
beetle                           1
beetles                          1
before                           106
before-and                       1
before-inches                    1
before-that                      1
